,News
76,"The IPL lost one of its side attractions on Thursday. Dean Jones' untimely demise has robbed the tournament of one of its most perceptive and entertaining commentators.
It may be no exaggeration to say that Jones the commentator had more followers in India than back home in Australia. Remember how he used to dress up as an academician during his stint as Professor Deano for NDTV?
He extended Australia's long tradition of excellent cricketers-turned-commentators. The likes of Ian Chappell, Richie Benaud and Bill Lawry elevated Channel 9 and now Brett Lee, Jones’ colleague on Star Sports Dugout, is a delight too.
Jones, however, had to live through one terrible phase when he was sacked by Ten Sports after he made an insensitive description of Hashim Amla during the second Test between Sri Lanka and Australia at Colombo in 2006. He regretted his mistake and was able to win back the broadcaster's faith.
ALSO READ
An effervescent cricketing star, full of swagger and zest
 Jones could put a smile on the viewer's face, with his sense of humour. He would also showcase his knowledge of Hindi, like if 52 was needed for victory, he would say: “They now need to make baawan.”
Scott Styris, former New Zealand all-rounder and now a fine analyst, always managed to bring the best out of Jones. During a recent IPL broadcast, Styris was talking to Lee about the speed of pace bowlers. “I was happy with my bowling,” Styris said. “The batsmen were also happy with your bowling,” quipped Jones.
It is hard to believe Jones is no more. You will be missed, Deano!"
77,"China is running hundreds of detention centres in northwest Xinjiang across a network that is much bigger than previously thought, according to research presented Thursday by an Australian think tank."
78,"The indefinite strike by Karnataka State Health and Medical Education Department Contractual Employees’ Forum and Karnataka AIDS Prevention Society Contract Workers’ Association has partially hit COVID-19 surveillance, testing and reporting in the State.
Over 30,000 employees affiliated to these associations abstained from work starting Thursday demanding pay parity and COVID-19 incentives. While the government has announced COVID-19 incentives for doctors and paramedical staff working under the National Health Mission, it has excluded a majority of staffers on COVID-19 duty.
Protesting this disparity, NHM staffers deployed at Primary Health Centres, taluk and district hospitals apart from COVID-19 Care Centres did not report for work on Thursday.
The protest’s impact was also visible in the COVID-19 health bulletin issued by the Health Department on Thursday. The State reported 7,710 new cases and 65 deaths. Although this is marginally higher than that reported on Wednesday, the numbers are lower than average, which is attributed to the protest.
The total cases went up to 5,48,557 and the toll rose to 8,331. This is apart from 19 non-COVID-19 deaths. With 6,748 discharges, the total recoveries rose to 4,44,658. Of the remaining 95,549 active cases, 827 patients are being monitored in ICUs of various hospitals.
The number of tests continued to remain lesser that the average 75,000 per day. Only 64,164 tests were conducted in the last 24 hours, including 23,232 rapid antigen tests. Bengaluru Urban saw a record 4,192 cases, the highest single-day spike so far."
79,"In a year of grim tidings, the demise of Dean Jones in Mumbai on Thursday is the latest hammer-blow. Sport has lost an effervescent cricketing star, who made a smooth transition to the commentary box with his swagger and zest intact.
During his prime, the former Australian batsman was all energy and aggression.
He exuded an aura in One Day Internationals (ODI), with shots that blended the conventional and the unorthodox while embellishing it with frenetic running between the wickets.
Jones, Deano to his friends, was a sharp fielder too and he was part of the 1987 World Cup-winning squad helmed by the indomitable Allan Border.
The Madras classic
After a tearful Kim Hughes resigned and left the reins of a weakened Aussie unit to Border in 1984, the latter identified Jones as one of his vital cogs, who along with David Boon, Geoff Marsh, Steve Waugh and Craig McDermott, could revive Australia.
Jones and ODIs shared an adrenaline-loaded bond but he is often remembered for his rousing 210 in the famous Tied Test at Chennai, Madras then, in 1986.
One of the defining pictures of the historic Tied Test was Dean Jones battling heat and dehydration to rack up a superb 210.  
   The enduring images of him batting relentlessly despite the southern metro’s searing heat, egged on by a ruthless Border, is the stuff of legend.
Jones later admitted that he urinated in his pants, vomited on the turf, but soldiered on as his captain wanted him to stay at the wicket.
The Test’s anniversary recently passed us by and just as those old pictures of Jones emerged, he now lies cold in Mumbai. Life’s myriad turns could not be starker!
Broadcast embrace
After a decade of cricket for Australia, the Victorian embraced television, became a perennial fixture in commentary boxes, forged new friendships and was always eager to have a chat.
He could be politically incorrect too and a ghastly word he used to describe South African great Hashim Amla, put Jones to pasture. He apologised profusely and reintegrated himself with the media bandwagon that tails the willow game.
At 59, he had many years of good talk and booming laughter left in him but his heart deemed otherwise and cricket is poorer."
80,"The central region on Thursday recorded 727 new COVID-19 cases, reflecting a sharp increase from Wednesday’s 598."
81,"Six months after lockdown was imposed and restrictions continued to combat the COVID -19 pandemic, the Telangana State Road Transport Corporation’s (TSRTC) buses will hit the roads in Hyderabad from Friday."
82,"A group of eminent academics, writers, filmmakers and artists from around the world, including Noam Chomsky, Salman Rushdie and Mira Nair, on Thursday called for the release of former Jawaharlal Nehru University students’ leader and activist Umar Khalid, who has been arrested by the Delhi Police in connection with the riots that erupted in February."
83,"The COVID-19 epidemic is plotting a path almost similar to the projections which spoke of a possible peak in the epidemic curve mid-September to the first week of October.
The exponential rise in the case graph was evident with the State registering 6,324 cases on Thursday, quite a jump by over 1,000 cases registered the previous day.
The State also hiked the number of samples tested in the past 24 hours from 51,200 on Wednesday to 54,989 samples on Thursday. However, it is not quite clear what proportion of these tests are done in the private sector.
The number of recoveries reported on the day was 3,168.
The cumulative case burden now stands at 1,54,456. With 1,07,850 recoveries reported so far, the number of patients currently undergoing treatment in hospitals is 45,919. Of these, 371 patients are critically ill and in intensive care units, with 96 patients on ventilatory support.
The State’s death toll is also surging steadily in proportion to the rise in the total number of cases and now stands at 613, with 21 more deaths being added to the official toll on Thursday. These are deaths which occurred between September 4 to 22. Thiruvananthapuram accounted for 11 deaths, Alappuzha 7, while one death each was reported from Ernakulam, Thrissur and Kozhikode.
Close to 96% of the new cases —6,054 out of the 6,324 new cases reported on Thursday — are locally acquired infections, including infections reported in 105 health-care workers. In 628 of the cases, the source of infection remains unknown.
The sudden rise in the number of cases put Kozhikode with 883 new cases at the top of all districts. Thiruvananthapuram closely followed with 875 cases, Malappuram 763, Ernakulam 590, Thrissur 474, Alappuzha 453, Kollam 440, Kannur 406, Palakkad 353, Kottayam 341, Kasaragod 300, Pathanamthitta 189, Idukki 151 and Wayanad 106.
The surge in daily case burden is naturally reflected in the number of active cases in each district with Thiruvananthapuram having the maximum number of active patients at 8,446. Kozhikode has 4,927 and Ernakulam, 4,691 patients. Except for Idukki and Wayanad, all other districts have active cases in four-digits.
The number of hotspots in the State at present is 654."
84,MADURAI
85,"Forests Minister Dindigul C. Sreenivasan launched Amma mobile ration shops here on Thursday.
The objective was to take the ration items to the doorstep of people. During the COVID-19 pandemic, instead of making people go to the ration shop, it was decided to take the essential commodities to the closest points of every resident.
It was proposed to carry the essential goods in a goods carrier once a month by a designated salesman and issue the commodities to the card holders.
In Dindigul, initially it had been proposed to cover 28,819 family card holders in 157 ration shops through 56 vehicles. The Minister also gave away 13 house site pattas and six others received sanction letter for green houses allotted to them under the CM's housing scheme."
86,"Acting on apprehension about theft of body organs raised by family members of COVID victims, authorities exhumed two bodies in Pattukottai on Thursday."
87,"Delhi Deputy Chief Minister Manish Sisodia, who was admitted to a hospital on September 23 after testing positive for COVID-19 earlier this month, is also suffering from dengue, officials said on Thursday. “He is also suffering from dengue and his blood platelets count is low,” a Delhi government official said.
Mr. Sisodia was admitted to Lok Nayak Hospital on Wednesdday as he had fever and low oxygen levels. He was tested positive for COVID-19 on September 14 and was under home isolation.
“The Minister was in ICU yesterday, but he has been shifted to a room today. Though he has dengue, his blood platelets count is above 1 lakh and he is stable. His fever has also come down and oxygen levels are also better,” a hospital official said."
88,"The Uzhavar Sandhai that was shuttered here as part of COVID-19 containment measures will be reopened in the same location only after number of cases returned to zero. The farmers’ market has since been relocated to two different locations, with the breakup of stalls.
The Uzhavar Sandhai that was a huge draw among Hosur residents was shuttered pre-emptively to avoid an outbreak, especially due to its location. The old farmers’ market was sited on a location with a narrow approach road causing heavy congestion. In its wake, the market was closed to avoid build-up of clusters taking cue from the experience of Koyambedu cluster.
The market was bifurcated with number of stalls divided to be set up on the road abutting Ramanayakkan Lake and at the MGR market for another group. Amid queries of the relocation of market back to its original spot, the corporation has no plans of moving the market back to its erstwhile location as the number of cases in Hosur was steadily spiking on a daily basis.
According to Hosur Corporation Commissioner Balasubramaniam, for now, the Uzhavar Sandhai will continue to operate from its two temporary locations. “The market will not be moved back, until the number of cases came down to zero.”"
89,"The Enforcement Directorate (ED) is the latest agency to turn its gaze on the actors and party organisers who have been arrested by the Central Crime Branch (CCB) in connection with an alleged drug racket. But this time, it’s the financial activities of the accused that are under the scanner.
The ED on Thursday obtained permission to question actors Ragini Dwivedi and Sanjjanaa Galrani as well as three others for alleged money laundering.
During the bail application hearing in the NDPS Court, Special Public Prosecutor P. Prasanna Kumar filed an application seeking permission for the ED to question the accused about their financial activities. Admitting the plea, the court granted the agency permission to question party organiser Viren Khanna, another accused Rahul Thonse, second division clerk in the RTO Ravishankar as well as Ragini and Sanjjanaa for five days at Central Prison, Parappana Agrahara where they are lodged.
Mr. Prasanna Kumar submitted that the CCB, during the course of its investigation, found that the accused financed drug trafficking and earned money from the activity. The ED, through its counsel, stated that in order to unearth and trace the financial trail, it was essential to know details of the property purchased by the accused and investments made.
The counsel cited the recent suspension of Assistant Commissioner of Police M.R. Mudhavi for allegedly helping the accused in return for a payment of ₹50 lakh. He allegedly received ₹12 lakh as an advance from the accused.
“With this, it can be estimated that the accused have huge amount of unaccounted money, which needs to be probed,” Mr. Prasanna Kumar said.
Resort owner summoned
CCB officials, as part of the investigation, summoned Bengaluru-based resort owner Karthik Raju for questioning. According to the police, the accused had organised a party at his resort where drugs were sold and consumed.
“We are probing in detail to ascertain his possible involvement in the racket,” a senior police officer said.
CCB special teams are still searching for three of the prime accused, including Aditya Alva, the son of the late Jeevaraj Alva who served as minister, and party organiser Sheikh Fazil.
Accused tests positive
One of the accused arrested by the CCB has tested positive for COVID-19. According to the police, he is one of the party organisers who is close to several celebrities.
“CCB officials had taken him into police custody for further questioning but on Thursday, his results came positive. He has been shifted to a private hospital for treatment,” said a senior police official.
Meanwhile, the Special NDPS court has postponed the bail plea of actors Sanjjanaa and Ragini to Friday while the plea of the other accused, Prateek and Ravishankar, will come up for hearing on September 28 and 29."
90,"Senior TDP leader and former Minister Ch. Ayyanna Patrudu on Thursday lodged a complaint with the ACB against Labour Minister G. Jayaram.
Speaking to the media after lodging the complaint, Mr. Ayyanna Patrudu said he submitted all evidence against the Minister showcasing how one of the accused in the ESI scam, Kartik, presented a luxury car to the Minister's son Eswar as a gift.
He said the Minister should tell why such an expensive car was given as a gift to his son. He said the Chief Minister who speaks much against corruption should now take action against the Minister.
He also pointed out that though he had earlier lodged a complaint through the call centre numbers, no action was initiated till now.
Mr. Ayyanna Patrudu said that instead of taking action against the accused, the Chief Minister was trying to shield the Minister.
ESI fund
He also pointed out that TDP deputy floor leader K Atchannaidu was arrested without any evidence. But, no action was taken against the Minister, though he was providing a number of evidences. He also sought details with regard to spending of the ₹450-crore ESI fund.
MLAs Velagapdui Ramakrishna Babu and other TDP leaders accompanied Mr. Ayyanna Patrudu to the ACB office."
91,"The Union Health Ministry on Thursday admitted that 10 States and Union Territories account for 83% of the new deaths due to COVID-19 in the last 24 hours, with Maharashtra, Uttar Pradesh, Punjab, Tamil Nadu and West Bengal leading the list. India has registered 1,129 COVID deaths in the past 24 hours, as per data released by the Health Ministry."
92,"The Nagpur bench of the Bombay High Court on Thursday quashed the FIR and the chargesheet filed against Myanmar nationals booked for Tablighi activities and said, “Compelling the applicants to undergo the trial would cause grave injustice.”"
93,"The State government has again sanctioned food kits to 1,000 transgender persons.
The State had become the first to provide food kits to transgender persons in the first phase of lockdown in March. With the spike in disease, transgender persons have been facing a difficult time.
The government has now sanctioned food kits to the tune of ₹700 each to 1,000 transgender persons who have ID cards, those who have completed screening for the cards, and those who have applied for it.
However, this number forms only a small percentage of the total number of transgender persons in the State. A socio-economic survey in 2014-15 had estimated the number of transgenders in the State at 25,000. They have been further pushed to the margins of society by the pandemic.
Apoorva, a transgender person, used to work as a cook at the Social Justice Department’s shelter for transwomen at Karakkamandapam here but after it closed down, had no income. Consequently, Apoorva had to move back home with her parents. She is also worried about how to meet the hospital expenses of her parents.
Ruby, who too had worked at the same shelter home, had taken up fish business. But after a friend died, all the savings were wiped out. She has not been working since. The rent on her house has been adjusted against the advance, but with no money in hand, she has no option but to move out the next month.
Community members say the food kits provided by the government or the assistance of ₹1,500 provided by the National Institute of Social Defence are only a drop in the ocean. Some have got a breather after shifting to the shelter homes run by the community under a government project.
The increase in funds sanctioned for sex reassignment surgery from ₹2 lakh to ₹5 lakh and self-employment loans announced by the KSWDC are welcome steps, but financial assistance is necessary to tide over the difficult times, they say.
Their hopes are now pinned on a proposal for government assistance of ₹1,000 for 800 transgender persons."
94,"India on Thursday said Pakistan’s proposed election in Gilgit-Baltistan had no legal ground. The official spokesperson of the Ministry of External Affairs, Anurag Srivastava, said India considered the entire region of Jammu and Kashmir to be its integral part."
95,Illegal sale of pan masala and gutkha seems to have resurfaced in different parts of the city.
96,"With a surge in the number of COVID-19 cases in the State, the demand for medical oxygen has shot up by over 150 metric tonnes in the last one month. The current availability for medical purposes is 375 metric tonnes per day."
97,"Lawyers for petitioners, including Jamiat Ulama-i-Hind, seeking action against certain sections of the media for the “demonisation of a large section of Indians” following the Tablighi Jamaat issue, wrote to the Supreme Court Registry expressing their surprise at the deletion of their case scheduled for hearing before a Bench led by Chief Justice of India Sharad A. Bobde on Thursday.
The case was listed as number 14 before the Bench. However, it was among several cases on the list which was shifted to “court number 31” for hearing on September 28.
Advocate Ejaz Maqbool, who represents the Jamiat petition and is led by senior advocate Dushyant Dave in court, said in the letter that the case was deleted from the list in the morning. He said the remark about the transfer of the case to “court number 31” was “erroneous”. A list on the court website shows only 10 virtual courts, including the Registrar court, functioning.
The letter addressed to the SC Registry said the media portrayal of a section of the population has affected lives and livelihoods.
“It is relevant to note that this matter is of utmost urgency as there has been a demonisation of a large section of Indians due to the communal twist given to the Nizamuddin Markaz issue, which is affecting the life, livelihood and dignity of such persons so much so that their shops/businesses are being boycotted, they are being attacked, and in some cases even being refused treatment by doctors,” the letter read.
In his e-mail to the Supreme Court Registry, Mr. Maqbool also pointed out that the case was supposed to have been listed on September 23, going by an earlier order.
Virtual Benches, however, sit in batches on alternative days. The CJI Bench did not sit on September 23.
The letter said the pleadings in the case are complete. The parties are ready for final arguments. It urged the Registry to list the case on September 25 for final hearing or on “any other convenient date”."
98,"Sunglasses maker Ray-Ban's parent company Luxottica was attacked by a ransomware on Sunday, information security manager Nicola Vanin confirmed in a Linkedin post."
99,"The government’s claim that the protection of Minimum Support Price (MSP) for farmers would continue in spite of the new farm laws is a half truth, according to Congress spokesperson and Rajya Sabha member Abhishek Singhvi.
Also read: Congress to launch nationwide stir against agriculture legislations
In the first of a series of nationwide press conferences that the party plans to hold over the next one month in its campaign against these laws, Mr. Singhvi said the farmers’ Produce Trade and Commerce (Promotion and Facilitation) Bill, 2020, and the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Bill, 2020, did not explicitly mention MSP anywhere.
The government’s claim was technically correct, that these laws did not explicitly say that the provision of MSP had been removed. But the laws gave the freedom to buy and sell the produce at any cost. “The government’s half-truth is far bigger than any lie”, he stated.
Picking other flaws in the Bills, he said that they gave licence to hoarders. They had liberalised the farm sector, allowing the corporate sector to purchase directly from farms and there was no dispute resolution mechanism in case the farmer felt short-changed, he observed.
These laws, Mr. Singhvi asserted, were unconstitutional, as they legally infringed on the division of power set out by the Constitution between the State and the Centre.
Research study on Bihar
Senior Congress leader Jairam Ramesh posted a 2019 study by the National Council of Applied Economic Research on Bihar, where, in 2006, the Agricultural Produce Market Committee Act was abolished. He tweeted, “Bihar abolished the APMC Act in 2006. That is one argument made by the Government in defence of the 2 #FarmBills. But what exactly did that abolition achieve?”
The main five findings of the report were: it led to a deterioration of public infrastructure, situation of small and marginal farmers remained unchanged as they continued to sell their produce to village-level intermediaries, left a regulatory vacuum in the State and poor public procurement, increased the number of intermediaries and did not attract large-scale private sector investment."
100,"The police have registered a case in connection with what is said to be a fraudulent transfer of ₹ 75.59 lakh from the Shorapur Tahsildar’s account.
Shorapur Police have booked a woman for transferring the funds from the account of Shorapur Tahsildar to the account of Sri Mahalakshmi Enterprises, Talikoti in Vijayapura district, on June 1 this year.
According to the police, who quoted Tahsildar of Shorapur Ninganna Biradar as saying in his complaint, accused Lakshmi, wife of Raju Kattimani and a native of Vajjal village in Hunsagi taluk, said to be the owner of Sri Mahalakshmi Enterprises, has fraudulently transferred a sum of ₹ 75,59,900 from the account of Shorapur Tahsildar through forgery of the tahsildar’s signature and using the official stamp on a cheque of the Tahsildar that had not been given to Sri Mahalakshmi Enterprises.
Mr. Biradar has been handling an official account in the name of Tahsildar Shorapur with Axis Bank in Shorapur and the amount was in this account to be used for natural disaster relief and for expenses that would incur for tackling COVID-19.
An FIR said that the issue came to light on September 22 when Mr. Biradar went to inspect the statement of the account provided by the bank. “The amount of ₹ 75.59 lakh was fraudulently transferred by the accused to an account in the name of Sri Mahalakshmi Enterprises when I was under long-term treatment in a hospital in Kalaburagi and later in Hyderabad for COVID-19 and pneumonia infection,” the Tahsildar has stated in the complaint.
Based on the complaint, the police have registered a case under Sections 419, 420, 465, 468 and 472 of the Indian Penal Code (IPC) and launched an investigation, Superintendent of Police Rishikesh Sonawane told The Hindu."
101,
102,The Bruhat Bengaluru Mahanagara Palike (BBMP) is all set to file FIRs against four private hospitals for allegedly failing to comply with the directions of the State government and reserve 50% of their beds for COVID-19 patients.
103,"Several Indian students are among over 200 overseas student signatories of a letter delivered to the U.K. Prime Minister Boris Johnson at Downing Street in London on Thursday, seeking justice in the wake of being accused of cheating in a compulsory English language test six years ago."
104,"Residents of some villages have taken objection to the State government’s plans to form residential layouts in villages surrounding Belagavi city, saying that they would lose their fertile land.
They said that the Belagavi Urban Development Authority was making efforts to acquire land in 28 villages for creating layouts.
This issue was raised in the taluk panchayat meeting here on Tuesday. Some members said that gram panchayats in all the 28 villages had received notice about land acquisition for construction of residential layouts for urban residents.
Taluk panchayat president Shankargouda Patil said that a resolution would be passed against this and sent to the State government.
However, BUDA officials refuted this. “No notice has been sent for formation of layouts. There is a proposal before the State government to expand the jurisdiction of BUDA. That is yet to be approved,” a senior BUDA officer said. “There is no plan or proposal for acquiring land for residential layouts in any of the new areas, as of now,” BUDA Commissioner Preetam Naslapure said.
BUDA, one of the biggest city development authorities in the State, has a spread of over 192 square kilometres. It stretches from villages such as Kakati and Kangrali on one side and Savgaon, Mandolli and Peeranwadi on the other.
When expanded, it will encompass the Belagavi airport in Sambra, Yallur, Navage and Kadoli on the four sides. The proposal has been forwarded by the district administration to the State government.
Once the new areas are included, then the rules set by BUDA on land use and house construction will have to be followed. Regulations on creating new layouts and residential and commercial complexes will also have to be adhered to. A vision document is being prepared, along with a comprehensive development plan. A detailed plan of the city will be prepared using Geographical Information Systems, under the Centrally aided AMRUT Scheme.
BUDA’s plans for layout development under the farmers partnership scheme is also being opposed.
The urban body plans to take over farm land from those willing to sell, develop it into layouts and offer half of the number of sites developed to farmers so that they can sell them to whoever they want. BUDA will, however, allocate its sites to those who apply for them, under government rates.
It has an on-going project on Kanabaragi Road that was challenged in court earlier. It has been cleared now and BUDA will develop the layout in 140 acres, excluding the 160 acres that is under dispute.
Similar plans are afoot in Jhadshahapur, Hindalga and Anagol villages. A few days ago, residents of Anagol and Halaga villages submitted a memorandum to the Deputy Commissioner’s office urging the government to drop the idea of creating residential layouts in these villages under farmers partnership scheme. Deputy Commissioner M.G. Hiremath has assured them of looking into their concerns."
105,"A day after the monsoon session of Parliament ended amid a flurry of protests by the Opposition over three farm Bills, Agriculture Minister Narendra Singh Tomar demanded that the Congress first disassociate itself from its own 2019 poll manifesto that promised the same agricultural reforms as done by the Modi government. “If Rahul Gandhi agrees with the Congress manifesto of the 2019 Lok Sabha elections, then he should join efforts in educating farmers,” Mr. Tomar said.
Addressing a presser at the BJP headquarters here, Mr. Tomar reiterated the government’s commitment to farmers’ welfare and said the new measures would bring them remunerative price for their produce. He also said the government was open to holding talks with farmers to assuage any doubts among them on the efficacy of the reforms. “If any farmer wants to speak to any government representative on these Bills even at midnight, we are ready,” he said.
Responding to the demand by the Opposition that continuation of the minimum support price (MSP) should be mentioned in the law, he said the MSP was always an administrative decision. “Why did the Congress not bring a law during its 50 years of rule if it thinks this was necessary,” he asked. He also cited reports of various commissions and reported views of Sharad Pawar, who was Agriculture Minister in the UPA government, to assert that these Bills are in line with their recommendations.
‘Withdraw manifesto’
Asked about Mr. Gandhi’s charge that the Modi government had harmed farmers and was now doing “PR”, Mr. Tomar said the Congress leader should first withdraw his party’s manifesto if he wanted to oppose the Bills.
The new laws will allow farmers to get paid for their produce in advance, help them move products which will fetch them better price and allow them to sell their produce outside agriculture ‘mandis’ without paying any taxes, he said.
“Farmers, so far, were forced to sell their produce in mandis. In Punjab, there’s 8.5% tax in the mandis on several items. Now, through these Bills, the farmer will be able to sell his produce even outside the ambit of the mandi, even outside his State at any price he chooses,” Mr. Tomar said.
Parliament has passed the three farm reform Bills — the Essential Commodities (Amendment) Bill, the Farmers’ Produce Trade and Commerce (Promotion and Facilitation) Bill and the Farmers (Empowerment and Protection) Agreement of Price Assurance and Farm Services Bill — in the session, which concluded on Wednesday. They will become laws after getting the assent of President Ram Nath Kovind and being notified."
106,"Amidst strong indications about the Kerala Congress (M) led by Jose K. Mani set to align with the Left Democratic Front (LDF), the faction has suffered a major blow with senior party leader and three time legislator Joseph M. Puthussery quitting the party to join the rival faction led by P.J. Joseph.
Announcing the decision here on Thursday, Mr. Puthussery told media persons that he wanted to follow the political probity of K.M. Mani and those who followed the footsteps of the KC(M) patriarch could never align with the LDF.
“Even though Mr. Mani had severed ties with the UDF in 2016, he then chose to come back soon,” he said.
He further criticised the Mani group's decision to forge ties with the LDF, which had made K.M. Mani a target of political witch hunt during the bar bribery case. “Ironically, those who claim the legacy of K.M. Mani are joining hands with the LDF after his demise. This is going to be suicidal. People who love K.M. Mani are not going to accept it,” Mr. Puthussery said.
The move comes close on the heels of reports that the faction had already given the LDF a list of local body wards from where it wished to contest in the upcoming local body elections.
Responding to the allegations levelled by the estranged leader, party general secretary Stephen George said the reasons cited by Mr. Puthussery to quit the party were nothing but the justification of a fortune seeker. “In fact, it is Mr. Puthussery, who has now taken a suicidal move as the camp he joined belonged to those who are trying to destroy the party founded by K.M. Mani,” Mr. George said.
Meanwhile, Mani group leader N. Jayaraj, MLA, said the party was yet to initiate a discussion with regard to joining the LDF."
107,The highest number of COVID-19 cases in the State on Thursday was reported in Kozhikode district when 883 people tested positive for SARS-CoV-2.
108,
109,"New caution boards have come up on either side of Mayor Muthu Road Over Bridge (ROB) warning heavy vehicles with more than 10 tonnes of weight to avoid the structure connecting Periyar bus stand with southern parts of Madurai city.
Reason: the bridge has lost its designed stability due to lack of proper maintenance. The bridge is a vital connectivity on the all-important Tirupparankundram Road providing the shortest link for southern districts to Madurai railway junction and Meenakshi temple.
In a bid to safeguard the “weak structure”, the Highways Department has put up another caution board restricting the speed limit on the bridge to 30 kmph.
A cursory glance shows that the sub-structure of the bridge is in bad shape what with the outer plastering worn out in every pillar. The iron rods have remained exposed to open air in too many spots for very long and are rusted. Even as the plastering has peeled off in many spots for more than half-a-foot, fresh cracks on the pillars reveal the stress the substructure is undergoing.
Every hour, hundreds of heavy vehicles, including buses, light vehicles and two-wheelers use the bridge under which Madurai-Manamadurai railway track runs.
“The bridge is more than 45 years old and needs urgent attention to retore it to its normal health,” says former Chief Engineer, State Highways Department, A.K. Rajaduraivelpandian.
It is not an isolated case of Mayor Muthu Bridge alone, but many structures of its age in the State are facing the same problem, he points out. “These are vey old bridges and routine maintenance like plastering and colour washing will not serve the purpose.”
The bridges should get special attention. “Advanced scientific solutions are available and concrete mix should be injected with advanced machineries to restore their stability,” Mr. Pandian says.
He recalls that he drew the attention of the State government several years ago to the need for special maintenance of bridges. However, that did not get any positive response till date. “Spending a few crores on maintenance will increase the longevity of the bridge by at least 10 to 20 years.”
If not attended to immediately or not done in the proper manner, the bridge might need total replacement. The State Highways should create a separate wing for maintenance of bridges on the lines of railways.“There is a telling difference in the maintenance of the railway portion of the bridges and the approach roads [maintained by the State Highways],” he adds.
A senior Highways official says a proposal for major maintenance work at a cost of ₹5 crore is pending with the State government. “The work will be taken up as per the advice of IIT-Madras. Once the reinforcement is done, it will gain its old stability.”
Traffic police have been advised to divert heavy vehicles through Ellis Nagar ROB, he adds."
110,"The National Domestic Workers Movement on Thursday called for special legislation to protect the welfare and livelihoods of the work force across the country.
Addressing mediapersons, along with a group of domestic workers, P. Clara, State coordinator, emphasised their plight in the wake of COVID-19 pandemic and said the movement held protests across the country on Thursday.
Many workers lost their livelihoods since the outbreak of the pandemic, as they were falsely perceived to be carriers of the viral infection, said Ms. Clara. “Many of the domestic workers are sole breadwinners of their families. With the loss of livelihood, many are unable to pay their rent or make ends meet. Only a few have resumed work.”
Hence, the government must provide a financial aid of ₹7,500 for each month from April to December to withstand the financial crisis caused by the pandemic.
Condemning the passage of three key labour bills in Parliament, she said they would undermine the security and livelihood of unorganised workers. “The government must ensure that social security schemes can be availed by domestic workers too.”"
111,"While the funeral of the Union Minister of State for Railways Suresh Angadi was carried out in New Delhi, various organisations spread across North Karnataka held condolence meetings on Thursday mourning the death of the BJP leader and recalled his contribution to the development of railway facilities in the State."
112,"The residence of the former Minister of State for Railways Suresh Angadi was a deserted place on Thursday. The house on Sampige Road in Sadashiv Nagar in Belagavi, that was otherwise full of visitors, was empty except for some family members and police personnel on guard."
113,"The CBI searched the premises of half a dozen former officials of KITCO and that of an outreach wing of an institution on Thursday in connection with the probe into the alleged misappropriation of the agency's CSR funds and a few other contracts involving the agency.
The raids were conducted in Kochi and Kottayam and on the premises of former senior officials of KITCO which is headquartered in Kochi. This was in connection with the probe into instances of alleged misappropriation of CSR funds which, according to the case, either did not reach the intended beneficiaries or did not serve the purpose for which the money was meant for. Former MD of the agency Cyriac Davis is arraigned as first accused, said a CBI official who was part of the search team.
Both the Central and State governments have stake in the consultancy agency. Among the alleged cases of fund misappropriation was one in which the agency engaged an outreach wing of an institution to train women in the Kuttampuzha tribal belt in bee keeping and making value-added products from bamboo reeds.
An official, who was associated with the implementation of the initiative and had been questioned by the CBI earlier, said that the project to handhold a few dozen women was implemented in 2015. The local body too was involved in the project, he said.
The project ran into controversy after Forest Department officials, under whose area it was implemented, feigned ignorance of the initiative. An RTI activist had alleged that KITCO officials misappropriated the bulk of funds which were meant to empower tribal women.
A probe is also under way into the alleged irregularities in identifying KITCO's head office and alleged erroneous design of an effluent treatment plant at Cochin SEZ, which led to leakage, necessitating intervention of the State Pollution Control Board. Mr. Davis was unavailable for comment.
A VACB probe had revealed that the agency’s slack supervision led to cracks surfacing on Palarivattom flyover within two years of its commissioning, following which a senior official was remanded."
114,"Acharya NG Ranga Agricultural University (ANGRAU) wants to be more and more farmer friendly and a plan of action will be chalked out to link the varsity’s various developmental and research activities with the State government’s Rythu Bharosa Kendras (RBKs), according to its Vice-Chancellor A. Vishnu Vardhan Reddy. The Vice-Chancellor was on his maiden visit to SV Agricultural College at Tirupati on Thursday. After inaugurating the specially designed gym and laboratories for the students and faculty, Prof. Vishnu Vardhan Reddy spoke to the media."
115,"Singer S.P. Balasubrahmanyam’s health condition has deteriorated in the last 24 hours and he is ‘extremely critical’, according to a health bulletin, on Thursday."
116,Minister for Information Kadambur C. Raju launched on Thursday an SMS facility under which COVID-19 test results could be sent immediately to patients in Thoothukudi Medical College Hospital.
117,The Narcotics Control Bureau (NCB) on Thursday sought time before the Bombay High Court to reply to bail pleas filed by actor Rhea Chakraborty and her brother Showik in connection with a drug case after the death of actor Sushant Singh Rajput.
118,"Khazi of Dakshina Kannada, Udupi, Chikkamagaluru, Hassan and Shivamogga and Islamic scholar P.M. Ibrahim Musliyar Bekal passed away in a private hospital here on Thursday. He was 71. He is survived by his wife, three sons and two daughters."
119,
120,The Ernakulam Rural police were spared blushes after they managed to rearrest an accused in a spate of thefts and robberies within hours after he escaped their custody in the late night hours on Tuesday.
